,target,n_1_H,E_0_H,E_1_H,E_apear,E_max,E_disapear,B_d
1,1,482.99125,6.216385867035297,5.862753202796198,0,28,99,7.219715676229509
3,3,325.535,6.210845934857617,5.420252671009323,0,23,99,5.469448099415206
2,2,398.935,6.21469281725973,5.658409514817351,0,26,99,6.581829800498753
3,3,326.855,6.211008610238286,5.423902812638578,0,23,99,6.404449658703071
5,5,207.53125,6.195867619295386,4.768768177961894,0,17,99,4.851035714285715
5,5,210.18125,6.196250215619708,4.781816282361726,0,16,99,4.9002488151658765
5,5,208.095,6.196375787836143,4.771643121441139,0,19,99,4.094900398406375
5,5,207.58,6.1956378988328105,4.76576210795399,0,18,99,4.7435656682027645
8,8,84.11125,6.144766434722439,3.483825498057409,0,19,99,11.62155
4,4,263.89875,6.205115558970622,5.140202608808977,0,20,99,5.333427884615385
2,2,397.75125,6.214413629843192,5.653992842890866,0,26,99,6.419610507246377
8,8,83.92625,6.143935887641944,3.464097965229965,0,19,99,7.235453124999999
0,0,578.4675,6.217479691218743,6.050084250217374,0,31,99,7.968506151142353
1,1,482.995,6.216485629026661,5.863321513353885,0,29,99,8.732276674937966
1,1,481.51625,6.216449160384791,5.859249874330192,0,30,99,7.40583857442348
3,3,326.85,6.210992498179057,5.422160063151577,0,23,99,6.5040068493150685
0,0,579.55125,6.217419773058532,6.053670701836586,0,31,99,7.681268875838926
7,7,118.1875,6.166099603534847,3.9254558459947417,0,17,99,5.043650362318839
6,6,160.24875,6.183924948928964,4.363329074118832,0,17,99,4.005351190476191
9,9,44.17,6.1250572711068605,2.451230328060092,0,22,99,20.549861111111102
5,5,208.93625,6.195843218174966,4.770807179575002,0,18,99,5.645041436464088
0,0,576.21875,6.217396809672157,6.046738043001697,0,31,99,7.526076732673267
8,8,83.705,6.144166397286582,3.498698571609542,0,20,99,5.143260869565218
7,7,121.3925,6.1679075151976726,3.954877492918353,0,19,99,7.3436597938144335
0,0,577.90375,6.217388633677183,6.050687812520149,0,31,99,7.776718483816014
4,4,261.57,6.204927733265663,5.126584539065768,0,20,99,6.504368990384615
6,6,159.245,6.183733658904108,4.343399270820723,0,16,99,6.880185950413223
6,6,162.495,6.184206365371037,4.37396526620461,0,18,99,4.414151315789475
9,9,46.24875,6.124970455620465,2.513154108592283,0,19,99,5.287430555555556
4,4,264.3175,6.204862122126813,5.140128455586019,0,20,99,4.806637323943662
4,4,263.03125,6.204901859504471,5.127760910996576,0,20,99,5.092695167286245
5,5,210.26125,6.196436618720102,4.785646012024298,0,19,99,4.58333517699115
8,8,85.82625,6.143305065180969,3.5108897747073256,0,20,99,4.634744094488188
9,9,43.59125,6.125181512952656,2.4473462709864005,0,20,99,61.689791666666665
7,7,118.72375,6.1665084214832016,3.928990339895789,0,18,99,5.554911417322836
9,9,42.68375,6.125367049439348,2.413584064881835,0,20,99,4.516687500000001
5,5,209.19,6.195848469783896,4.7768181795529525,0,17,99,5.052531094527363
9,9,44.81125,6.123978681844772,2.5052368935136027,0,19,99,15.616718749999997
4,4,262.16125,6.2049527647151645,5.127066542486248,0,21,99,5.30766176470588
9,9,45.44875,6.126703502885943,2.453863174910877,0,19,99,4.234588068181818
3,3,324.98125,6.211038906211453,5.416950787886282,0,22,99,5.441783625730994
9,9,46.3375,6.125217496660382,2.503710576920799,0,18,99,64.34708333333333
